ID,Name,Amazon ID,EAN,URL (google),Name (google),Price (google),URL (ebay),Name (ebay),Price (ebay),URL (amazon),Name (amazon),Price (amazon)
105160, Porcelain brillant 160 В°C Kanariengelb Gl.20 ml,B000W07BDC,4000798162016,https://www.google.de/shopping/product/4023466746024757809?q=4000798162016&prds=paur:ClkAsKraX99rdB0wCU3rx6U14OuloBIFbmDko1Uw1wuguPfBun8gTjviU5gAKrSoVZv9wAU5v2C6zeH5MuPMSkLGVzodZPhDhkyHG6BN8Ya_ZGLCac9mMBZVDRIZAFPVH70MCTF9Ow8XGdF3499uJW6Z-HUxjg&sa=X&ved=0ahUKEwjKmoi0y-HNAhXFZCwKHRXKDjMQ8wIIFjAA,"Hobby Line Porcelain Brillant 160В°C, 20 ml, Kanariengelb","1,89",http://www.ebay.de/itm/Hobby-Line-Porzellanmalfarbe-20ml-Farbauswahl-/301830990379?var=&hash=item4646876a2b:m:ml_w1EzOgwvgaWgMgDl7xLA,"Hobby Line Porzellanmalfa rbe, 20ml / Farbauswahl","2,53 2,88",https://www.amazon.de/Hobby-Line-Porzellanmalfarbe-Kanariengelb-Spielzeug/dp/B000W07BDC,"Hobby Line Porzellanmalfarbe, 20ml, Kanariengelb [Spielzeug]","2,10"
105161, Porcelain brillant 160 В°C Signalgelb Gl. 20 ml,B000W0CMCM,4000798162023,https://www.google.de/shopping/product/17619738269106284560?q=4000798162023&prds=paur:ClkAsKraX924CU5ynow-HT8G5PFIcX8QJP0kPAemqOZ2lF_f0M6glG1GaK5smtvsadWDpqo5aCFmNnubvt3TXHOtolOOJZQK96BksFBMlcQyRdHMaZ4HJ1JqUxIZAFPVH73BIe88lHi1QkUuXE8zuStG4b3JTA&sa=X&ved=0ahUKEwiGzemyy-HNAhWBXSwKHUSnBKkQ8wIIFzAA,"Hobby Line Porcelain Brillant 160В°C, 20 ml, signalgelb","1,89",http://www.ebay.de/itm/Hobby-Line-Porzellanmalfarben-Porzellanfarbe-20ml-versch-Farben-/112046098200?var=&hash=item1a1677c718:m:mqPeqj2mRb9gkXe66x9lyTA,Hobby Line Porzellanmalfa rben/ Porzellanfarbe / 20ml versch. Farben,"2,59",https://www.amazon.de/Hobby-Line-Porzellanmalfarbe-Signalgelb-Spielzeug/dp/B000W0CMCM,"Hobby Line Porzellanmalfarbe, 20ml, Signalgelb [Spielzeug]","4,99"
105176, Porcelain brillant 160 В°C Lapisblau  Gl. 20 ml,B000W057RO,4000798162177,https://www.google.de/shopping/product/14002671679718886513?q=4000798162177&prds=paur:ClkAsKraX430AG6sudx5LP35akOJqio8_32-T8igkHUZeD3lbM-rSdX2LAkH5e7PCyFDLdbl_-EMRPLl-iRHAN2sKV9HvIVpsLIZSYxU5ZmpLgzICp7asgoPMRIZAFPVH72bKFk8PcAW1xpJXqXZ1kmajkUBDw&sa=X&ved=0ahUKEwjxq7-0y-HNAhXKBSwKHTBxCzIQ8wIIFzAA,"Hobby Line Porcelain Brillant 160В°C, 20 ml, Lapisblau","1,89",http://www.ebay.de/itm/Hobby-Line-Porzellanmalfarben-Porzellanfarbe-20ml-versch-Farben-/112046098200?var=&hash=item1a1677c718:m:mqPeqj2mRb9gkXe66x9lyTA,Hobby Line Porzellanmalfa rben/ Porzellanfarbe / 20ml versch. Farben,"2,59",https://www.amazon.de/Hobby-Line-Porzellanmalfarbe-Lapisblau-Spielzeug/dp/B000W057RO,"Hobby Line Porzellanmalfarbe, 20ml, Lapisblau [Spielzeug]","2,10"
105180, Porcelain brillant 160 В°C Reseda  Gl. 20 ml,B000W07BB4,4000798162214,https://www.google.de/shopping/product/17851172393166602945?q=4000798162214&prds=paur:ClkAsKraX70uL_fn3hihevZbl7VFJzn5bUjM320O-JLn9YU81RcacyVl4uxK2lF8bavNQ2oGIHYrhRVvbWsSE1sIoGernyLmPpUBn7WlIex0rmvmzM1RtkhoPhIZAFPVH72FbbVge1si-IuUuLj7P90IpNI5Ow&sa=X&ved=0ahUKEwiOkOG1y-HNAhUDCCwKHTfVArcQ8wIIGTAA,KREUL 16221 - Hobby Line Porcelain Brillant 160В°C 20ml reseda,"1,07",http://www.ebay.de/itm/Hobby-Line-Porzellanmalfarben-Porzellanfarbe-20ml-versch-Farben-/112046098200?var=&hash=item1a1677c718:m:mqPeqj2mRb9gkXe66x9lyTA,Hobby Line Porzellanmalfa rben/ Porzellanfarbe / 20ml versch. Farben,"2,59",https://www.amazon.de/Hobby-Line-Porzellanmalfarbe-20ml-Reseda/dp/B000W07BB4,"Hobby Line Porzellanmalfarbe, 20ml, Reseda","4,77"
105193, Porcelain brillant 160 В°C Schwarz  Gl. 20 ml,B000W07BE6,4000798162344,https://www.google.de/shopping/product/5316271113050309741?q=4000798162344&prds=paur:ClkAsKraX0QTQFHJcy0e2MV-MPF0fHmPcqWEC1aBWzd7aPuzcUhktP-nb_ZfHWd5ImzpYW2Y418B1JUXok-XJk_mwMrCljHDQpdIWP05nOcr05GBxfu5LLYRiRIZAFPVH70W80T05d-CZ3mhH6O76djFO4aT4A&sa=X&ved=0ahUKEwj_2quzy-HNAhVC_iwKHa2yBsoQ8wIIGDAA,"Hobby Line Porcelain Brillant 160В°C, 20 ml, schwarz","1,89",http://www.ebay.de/itm/Hobby-Line-Porzellanmalfarben-Porzellanfarbe-20ml-versch-Farben-/112046098200?var=&hash=item1a1677c718:m:mqPeqj2mRb9gkXe66x9lyTA,Hobby Line Porzellanmalfa rben/ Porzellanfarbe / 20ml versch. Farben,"2,59",https://www.amazon.de/Hobby-Line-Porzellanmalfarbe-Schwarz-Spielzeug/dp/B000W07BE6,"Hobby Line Porzellanmalfarbe, 20ml, Schwarz [Spielzeug]","2,10"
105203,Porzellanma.Kirschrot 160В°C m Pinselsp. ,B0012F9DV4,4000798163051,https://www.google.de/shopping/product/10926705320233772016?q=4000798163051&prds=paur:ClkAsKraX0RAhMoSLi3IvwDL9LST4XDiKefmRi9AyCOKOwrbZ22oCJZPkKGbIqgExI2Mf1W_zqkeOfUaBn9moowyFcBL71gsmAbD-AHr-mwZSl84tCGgcACJARIZAFPVH73d5G8JhTbJ54ITX0txhOavh0MIXw&sa=X&ved=0ahUKEwjNw9y0y-HNAhVGVSwKHSPiCKUQ8wIIGTAA,"Hobby Line PorcelainPEN Easy, rot","1,95",http://www.ebay.de/itm/Porzellanmaler-Hobby-Line-Porzellanstift-Porzellanfarbe-Glasmalstift-/400732891631?var=&hash=item5d4d8aa9ef:m:mK1B7oXMu_Wcz6Uk1Ek3hBg,"Porzellanmaler Hobby Line, Porzellanstift , Porzellanfarbe , Glasmalstift","2,00 10,50",https://www.amazon.de/Kreul-16305-Hobby-Porcelain-kirschrot/dp/B0012F9DV4,"Kreul 16305 Hobby Line Porcelain Pen easy, 1-3 mm, kirschrot","2,89"
105206,Porzellanma. Royalblau160В°C m Pinselsp. ,B0012F3QNK,4000798163136,https://www.google.de/shopping/product/10399098020499854017?q=4000798163136&prds=paur:ClkAsKraX9JHEcvzDTGtiLaK3dJK3NpHqC_i5_Mh8tKX1OH3Ma9XwrimGsJe_QNCIFGUoA_yErkcWXQBj7Aq0_5o16TRd0rt_rb4suivqracJwXVk-glBYHGGRIZAFPVH70o2M3v75G5Yj5V0575R313hyBlzg&sa=X&ved=0ahUKEwi8sPeyy-HNAhXOJSwKHbwrA6QQ8wIIGTAA,"Hobby Line PorcelainPEN Easy, dunkelblau","1,95",http://www.ebay.de/itm/Porzellanmaler-Hobby-Line-Porzellanstift-Porzellanfarbe-Glasmalstift-/400732891631?var=&hash=item5d4d8aa9ef:m:mK1B7oXMu_Wcz6Uk1Ek3hBg,"Porzellanmaler Hobby Line, Porzellanstift , Porzellanfarbe , Glasmalstift","2,00 10,50",https://www.amazon.de/Kreul-16313-Hobby-Porcelain-dunkelblau/dp/B0012F3QNK,"Kreul 16313 - Hobby Line Porcelain Kuli easy, 1 - 3 mm, dunkelblau","4,06"
105210,Porzellanma.GrГјn 160В°C m Pinselsp. FranzГ¶sisch,B0012F3QQW,4000798163235,https://www.google.de/shopping/product/3947943774018888673?q=4000798163235&prds=paur:ClkAsKraX6a63zmVl6wzWwLk2m8Oiie2thVKBpiKbd43Y2vtdH4HpEDomeZL2zsdrNWz_nivbcyqcZOeZ7JL4pRqGGgLiLLRvMQomBQMJs1tDMWC9fzI-t-QmRIZAFPVH72wu4xnvKCTbRIyX5j3dRy3CNFRfw&sa=X&ved=0ahUKEwiKoPa0y-HNAhVD8ywKHT9sC-0Q8wIIGTAA,"Hobby Line Porcelain Easy - Pen, 1-3 mm, dunkelgrГјn","1,99",http://www.ebay.de/itm/Porzellanmaler-Hobby-Line-Porzellanstift-Porzellanfarbe-Glasmalstift-/400732891631?var=&hash=item5d4d8aa9ef:m:mK1B7oXMu_Wcz6Uk1Ek3hBg,"Porzellanmaler Hobby Line, Porzellanstift , Porzellanfarbe , Glasmalstift","2,00 10,50",https://www.amazon.de/Kreul-16323-Hobby-Porcelain-dunkelgr%C3%BCn/dp/B0012F3QQW,"Kreul 16323 - Hobby Line Porcelain Kuli easy, 1 - 3 mm, dunkelgrГјn","4,51"
105328,Glas-Design FeindГјse 0.7,B000KSI0AE,4000798428075,https://www.google.de/shopping/product/15230535640098944347?q=4000798428075&prds=paur:ClkAsKraX6Chka3HdSdrfdO1fMHQPjdDAJuwDOrvJTVr7LTYPbwFos8nb1cqV2H_IXnMhpZOHPJkaZPyogF9FlFta3kSw1FWqIEq6v_RtlxKp5rLQJedVavYVBIZAFPVH73tAUJOLJmJcKizoa41MG__QXBzQw&sa=X&ved=0ahUKEwj_mK60y-HNAhXHFSwKHUHACpQQ8wIIGTAA,"Hobby Line FeindГјse 0,7 mm","1,00",http://www.ebay.de/itm/Window-Color-Metall-Feinduse-Feinduse-Window-Color-Zubehor-/401136219165?var=&hash=item5d6594f41d:m:mCL9r7r0cjLnj_i5-wGpQjg,"Window Color Metall-FeindГјs e, FeindГјse, Window Color ZubehГ¶r","2,80",https://www.amazon.de/Konturenspitze-0-7-mm-1Stck/dp/B000KSI0AE,"Konturenspitze, 0,7 mm, 1Stck.","4,06"
105523, GemГ¤ldefirnis glГ¤nzend  Spraydose 400 ml,B0054M0B6M,4000798823405,https://www.google.de/shopping/product/15279256331772404726?q=4000798823405&prds=paur:ClkAsKraX84L_6QNSYQX_0AtdTNciqI1HyHupOxzlaq-k4BOuPN9eKjnaU29KUEqxOloXfc70lTO179p0UMYRke-ki-dXmfge74EOLCI7vVDbBgSBSLNIkMlFRIZAFPVH72doJ6nUFbFIj7x7d5SjOwOYS0u2A&sa=X&ved=0ahUKEwiN4vKzy-HNAhURKywKHfAoDy4Q8wIIGTAA,"Solo Goya GemГ¤ldefirnis glГ¤nzend, SprГјhdose 400 ml","7,79",http://www.ebay.de/itm/400-ml-Solo-Goya-Firnis-Fixativ-Gemaldeschutz-Bild-Schutz-Konservierung-Gemalde-/251946894887?hash=item3aa9348627:g:aXsAAOSw-7RVHSEE,400 ml Solo Goya Firnis Fixativ GemГ¤ldeschutz Bild Schutz Konservierung GemГ¤lde,"11,75",https://www.amazon.de/Solo-Goya-823400-Gem%C3%A4ldefirnis-Spraydose/dp/B0054M0B6M,Solo Goya 823400 - GemГ¤ldefirnis glГ¤nzend  Spraydose 400 ml,"13,88"
